USA	up	dn	up_con	dn_con	n	up_frac	up_frac_con	up_frac2	up_frac_con2
1	FALSE	35	19	41	25	119	0.648148148148148	0.621212121212121	0.294117647058824	0.34453781512605
2	TRUE	86	73	80	67	361	0.540880503144654	0.54421768707483	0.238227146814404	0.221606648199446
